Date,canada_unemployment_rates,unemployment_rates,canada_inflation_rate,inflation_rate,canada_total_cases,canada_total_tests,canada_people_fully_vaccinated,canada_total_deaths,canada_reproduction_rate,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
2019-01,5.9,5.3,1.4,4.4,,,,,,,,,,
2019-02,5.9,5.3,1.5,3.8,,,,,,,,,,
2019-03,5.8,5.3,1.9,3.4,,,,,,,,,,
2019-04,5.8,5.1,2.0,3.2,,,,,,,,,,
2019-05,5.4,5.1,2.4,3.2,,,,,,,,,,
2019-06,5.5,5.1,2.0,2.7,,,,,,,,,,
2019-07,5.8,5.4,2.0,2.2,,,,,,,,,,
2019-08,5.8,5.4,1.9,1.4,,,,,,,,,,
2019-09,5.6,5.4,1.9,0.5,,,,,,,,,,
2019-10,5.7,4.5,1.9,0.6,,,,,,,,,,
2019-11,6.0,4.5,2.2,1.2,,,,,,,,,,
2019-12,5.8,4.5,2.2,2.4,,,,,,,,,,
2020-01,5.6,5.3,2.4,3.0,4.0,0.0,,,,1.0,,,,
2020-02,5.7,5.3,2.2,2.5,33.0,510.0,,,,3.0,,,1.0,
2020-03,7.9,5.3,0.9,2.2,10711.0,178318.0,,152.0,1.74,2084.0,,,88.0,2.4
2020-04,13.0,17.6,-0.2,1.8,57214.0,692108.0,,4055.0,0.97,8488.0,99190.0,,568.0,1.18
2020-05,13.4,17.6,-0.4,1.6,92067.0,1655117.0,,7828.0,0.8,18086.0,337163.0,,957.0,1.63
2020-06,12.2,17.6,0.7,2.3,104608.0,2894567.0,,8722.0,0.89,37514.0,697570.0,,1266.0,1.3
2020-07,10.9,10.0,0.1,2.4,116886.0,4398108.0,,8981.0,0.97,93354.0,1466363.0,,2023.0,1.67
2020-08,10.3,10.0,0.1,2.2,129594.0,6146834.0,,9147.0,1.21,220819.0,2483571.0,,3558.0,0.89
2020-09,9.2,10.0,0.5,2.2,162560.0,8446021.0,,9343.0,1.27,311694.0,3556760.0,,5504.0,0.91
2020-10,9.2,8.7,0.7,2.3,237844.0,11329993.0,,10226.0,1.15,380729.0,4584347.0,,7221.0,0.96
2020-11,8.7,8.7,1.0,3.0,383468.0,14277692.0,,12223.0,1.12,431630.0,5478386.0,,8392.0,1.01
2020-12,8.9,8.7,0.7,3.3,590249.0,17965095.0,2.0,15736.0,1.06,474064.0,6408076.0,,9244.0,0.96
2021-01,9.4,8.7,1.0,3.7,782912.0,21593178.0,113765.0,20033.0,0.82,525618.0,7422756.0,,10749.0,1.03
2021-02,8.3,8.8,1.1,4.2,870022.0,24444017.0,536098.0,21995.0,0.98,576352.0,8329872.0,,12318.0,1.13
2021-03,7.5,7.1,2.2,4.1,990662.0,27644520.0,712432.0,22960.0,1.22,747288.0,9707818.0,,13297.0,1.23
2021-04,8.0,8.7,3.4,4.1,1230530.0,31479292.0,1134213.0,24220.0,0.96,1037460.0,11279419.0,280045.0,17234.0,0.9
2021-05,8.0,7.7,3.6,4.1,1387091.0,34790069.0,2145412.0,25548.0,0.66,1230301.0,12805071.0,,20966.0,1.1
2021-06,7.6,7.7,3.1,3.7,1419748.0,36768392.0,11789641.0,26296.0,0.72,1412559.0,14316229.0,2632938.0,24662.0,0.96
2021-07,7.4,6.9,3.7,3.7,1434967.0,38529118.0,22408293.0,26599.0,1.37,1588965.0,15850987.0,,27889.0,1.2
2021-08,7.1,8.1,4.1,4.4,1504281.0,40539628.0,25548423.0,26933.0,1.22,1989857.0,17727495.0,13958418.0,33448.0,1.13
2021-09,7.0,8.9,4.4,4.2,1629026.0,43332881.0,27049954.0,27863.0,1.0,2549966.0,19998126.0,21358676.0,38294.0,0.83
2021-10,6.8,7.4,4.7,4.0,1720166.0,46257864.0,28313942.0,28970.0,0.93,2787276.0,21672539.0,27360873.0,43172.0,0.66
2021-11,6.1,6.5,4.7,3.7,1798195.0,48807147.0,29054220.0,29688.0,1.12,2832734.0,22833396.0,36365357.0,48545.0,0.53
2021-12,6.0,6.6,4.8,3.1,2223735.0,52662229.0,29437317.0,30320.0,1.54,2843979.0,23778192.0,,51504.0,4.19
2022-01,6.5,6.4,5.1,3.0,3073654.0,56587195.0,30164340.0,33870.0,0.75,3560202.0,25743916.0,59026174.0,54003.0,0.65
2022-02,5.5,6.4,5.7,3.0,3302400.0,58238581.0,30912775.0,36594.0,0.89,3661997.0,26577103.0,,56451.0,0.52
2022-03,5.3,5.8,6.7,4.0,3489910.0,59464465.0,31188970.0,37597.0,1.1,3678245.0,27272873.0,65992980.0,59249.0,0.81
2022-04,5.2,5.7,6.8,4.9,3765164.0,60940299.0,31311704.0,39265.0,0.8,3685643.0,,,60341.0,0.95
2022-05,5.1,6.0,7.7,5.4,3884160.0,62008453.0,31396929.0,41019.0,0.85,3690581.0,,,60455.0,1.01
2022-06,4.9,6.0,8.1,6.1,3962334.0,62177630.0,31450822.0,41952.0,1.14,3704407.0,,,60555.0,1.51
2022-07,4.9,5.2,7.6,6.4,4092722.0,62177630.0,31496027.0,42951.0,0.98,3776627.0,,,60727.0,1.21
2022-08,5.4,5.3,7.0,6.3,4194892.0,62177630.0,31542116.0,44165.0,0.97,3880229.0,,,61814.0,0.86
2022-09,5.2,5.0,6.9,6.9,4279316.0,62177630.0,31581862.0,45421.0,1.07,3948040.0,,,62947.0,1.02
2022-10,,,,,4368845.0,62177630.0,31639845.0,46674.0,,4004465.0,,,64074.0,
