Year,Month,inflation_rate
2019,1,1.4
2019,2,1.5
2019,3,1.9
2019,4,2.0
2019,5,2.4
2019,6,2.0
2019,7,2.0
2019,8,1.9
2019,9,1.9
2019,10,1.9
2019,11,2.2
2019,12,2.2
2020,1,2.4
2020,2,2.2
2020,3,0.9
2020,4,-0.2
2020,5,-0.4
2020,6,0.7
2020,7,0.1
2020,8,0.1
2020,9,0.5
2020,10,0.7
2020,11,1.0
2020,12,0.7
2021,1,1.0
2021,2,1.1
2021,3,2.2
2021,4,3.4
2021,5,3.6
2021,6,3.1
2021,7,3.7
2021,8,4.1
2021,9,4.4
2021,10,4.7
2021,11,4.7
2021,12,4.8
2022,1,5.1
2022,2,5.7
2022,3,6.7
2022,4,6.8
2022,5,7.7
2022,6,8.1
2022,7,7.6
2022,8,7.0
2022,9,6.9
