Year,Month,unemployment_rates
2019,1,5.1
2019,2,5.3
2019,3,5.2
2019,4,5.0
2019,5,5.0
2019,6,5.1
2019,7,5.3
2019,8,5.2
2019,9,5.2
2019,10,5.1
2019,11,5.1
2019,12,5.2
2020,1,5.3
2020,2,6.2
2020,3,5.9
2020,4,6.0
2020,5,5.9
2020,6,5.7
2020,7,5.7
2020,8,5.6
2020,9,5.4
2020,10,5.3
2020,11,5.2
2020,12,5.2
2021,1,5.4
2021,2,5.5
2021,3,5.3
2021,4,5.1
2021,5,5.0
2021,6,5.0
2021,7,5.1
2021,8,5.1
2021,9,4.9
2021,10,4.9
2021,11,5.0
2021,12,5.1
2022,1,5.3
2022,2,5.5
2022,3,5.8
2022,4,6.1
2022,5,5.9
2022,6,5.7
2022,7,5.4
2022,8,5.3
2022,9,5.5
