,total_cases_x,total_tests_x,people_fully_vaccinated_x,total_deaths_x,reproduction_rate_x,Year,Month,total_cases_y,total_tests_y,people_fully_vaccinated_y,total_deaths_y,reproduction_rate_y,inflation_rate,canada_unemployment_rates,unemployment_rates
0,4.0,0.0,,,,2020,1,5.0,,,,,1.49,5.6,8.2
1,33.0,510.0,,,,2020,2,100.0,,,2.0,,1.43,5.7,7.8
2,10711.0,178318.0,,152.0,1.74,2020,3,52229.0,,,3526.0,1.52,0.67,7.9,7.5
3,57214.0,692108.0,,4055.0,0.97,2020,4,168784.0,,,24349.0,0.64,0.33,13.0,7.6
4,92067.0,1655117.0,,7828.0,0.8,2020,5,190895.0,675159.0,,28805.0,1.23,0.36,13.4,7.1
5,104608.0,2894567.0,,8722.0,0.89,2020,6,204160.0,1761519.0,,29846.0,1.07,0.2,12.2,7.5
6,116886.0,4398108.0,,8981.0,0.97,2020,7,227151.0,3811890.0,,30268.0,1.37,0.78,10.9,8.5
7,129594.0,6146834.0,,9147.0,1.21,2020,8,320559.0,7261142.0,,30646.0,1.36,0.22,10.3,8.9
8,162560.0,8446021.0,,9343.0,1.27,2020,9,603998.0,12749279.0,,31971.0,1.14,0.05,9.2,8.9
9,237844.0,11329993.0,,10226.0,1.15,2020,10,1407089.0,20193096.0,,36798.0,1.32,0.05,9.2,8.3
10,383468.0,14277692.0,,12223.0,1.12,2020,11,2262406.0,26800331.0,,52743.0,0.72,0.2,8.7,8.1
11,590249.0,17965095.0,2.0,15736.0,1.06,2020,12,2660676.0,35881338.0,2.0,64644.0,1.09,-0.02,8.9,7.9
12,782912.0,21593178.0,113765.0,20033.0,0.82,2021,1,3237858.0,44356364.0,53628.0,76069.0,1.04,0.55,9.4,8.0
13,870022.0,24444017.0,536098.0,21995.0,0.98,2021,2,3797210.0,52987154.0,1646781.0,86440.0,1.05,0.56,8.3,8.2
14,990662.0,27644520.0,712432.0,22960.0,1.22,2021,3,4686013.0,65224573.0,2917930.0,95653.0,1.12,1.11,7.5,8.2
15,1230530.0,31479292.0,1134213.0,24220.0,0.96,2021,4,5658469.0,75931809.0,6581091.0,104528.0,0.82,1.24,8.0,8.2
16,1387091.0,34790069.0,2145412.0,25548.0,0.66,2021,5,5709432.0,85621956.0,11348042.0,109544.0,0.79,1.42,8.0,8.1
17,1419748.0,36768392.0,11789641.0,26296.0,0.72,2021,6,5817787.0,93688931.0,21174865.0,111110.0,0.99,1.48,7.6,8.0
18,1434967.0,38529118.0,22408293.0,26599.0,1.37,2021,7,6169957.0,106379973.0,32424266.0,111905.0,1.31,1.15,7.4,7.9
19,1504281.0,40539628.0,25548423.0,26933.0,1.22,2021,8,6794224.0,127803160.0,40457832.0,114483.0,0.83,1.87,7.1,7.8
20,1629026.0,43332881.0,27049954.0,27863.0,1.0,2021,9,7057937.0,143895621.0,44588495.0,116727.0,0.82,2.16,7.0,7.7
21,1720166.0,46257864.0,28313942.0,28970.0,0.93,2021,10,7211532.0,155479432.0,46091002.0,117717.0,1.16,2.62,6.8,7.5
22,1798195.0,48807147.0,29054220.0,29688.0,1.12,2021,11,7720283.0,167626716.0,47275355.0,119193.0,1.42,2.78,6.1,7.4
23,2223735.0,52662229.0,29437317.0,30320.0,1.54,2021,12,10018021.0,196119209.0,49635071.0,123805.0,1.57,2.75,6.0,7.4
24,3073654.0,56587195.0,30164340.0,33870.0,0.75,2022,1,19196399.0,234930897.0,51653127.0,131011.0,0.9,2.85,6.5,7.3
25,3302400.0,58238581.0,30912775.0,36594.0,0.89,2022,2,22755526.0,247722907.0,52573688.0,138436.0,0.75,3.63,5.5,7.3
26,3489910.0,59464465.0,31188970.0,37597.0,1.1,2022,3,25668176.0,259422810.0,52755031.0,142342.0,1.15,4.48,5.3,7.4
27,3765164.0,60940299.0,31311704.0,39265.0,0.8,2022,4,28699367.0,269748985.0,52835367.0,145999.0,0.72,4.83,5.2,7.5
28,3884160.0,62008453.0,31396929.0,41019.0,0.85,2022,5,29573524.0,275065759.0,52902114.0,148396.0,0.93,5.2,5.1,7.6
29,3962334.0,,31450822.0,41952.0,1.14,2022,6,31144479.0,,52965172.0,149602.0,1.41,5.84,4.9,7.6
30,4092722.0,,31496027.0,42951.0,0.98,2022,7,33848327.0,,53025251.0,152052.0,0.71,6.08,4.9,7.5
31,4194892.0,,31542116.0,44165.0,0.97,2022,8,34591380.0,,53052757.0,154162.0,0.96,5.91,5.4,
32,4279316.0,,31581862.0,45421.0,1.07,2022,9,35453449.0,,53074126.0,155181.0,1.29,5.55,5.2,
33,4368845.0,,31639845.0,46674.0,,2022,10,36875709.0,,53092436.0,157063.0,,,,
34,,,,,,2019,1,,,,,,1.24,5.9,8.7
35,,,,,,2019,2,,,,,,1.32,5.9,8.7
36,,,,,,2019,3,,,,,,1.11,5.8,8.7
37,,,,,,2019,4,,,,,,1.26,5.8,8.5
38,,,,,,2019,5,,,,,,0.94,5.4,8.6
39,,,,,,2019,6,,,,,,1.17,5.5,8.5
40,,,,,,2019,7,,,,,,1.07,5.8,8.3
41,,,,,,2019,8,,,,,,1.04,5.8,8.2
42,,,,,,2019,9,,,,,,0.91,5.6,8.1
43,,,,,,2019,10,,,,,,0.76,5.7,8.2
44,,,,,,2019,11,,,,,,1.03,6.0,8.2
45,,,,,,2019,12,,,,,,1.46,5.8,8.2
