,Year,Month,Unemployment Rates
135,2019,1,5.9
136,2019,2,5.9
137,2019,3,5.8
138,2019,4,5.8
139,2019,5,5.4
140,2019,6,5.5
141,2019,7,5.8
142,2019,8,5.8
143,2019,9,5.6
144,2019,10,5.7
145,2019,11,6.0
146,2019,12,5.8
147,2020,1,5.6
148,2020,2,5.7
149,2020,3,7.9
150,2020,4,13.0
151,2020,5,13.4
152,2020,6,12.2
153,2020,7,10.9
154,2020,8,10.3
155,2020,9,9.2
156,2020,10,9.2
157,2020,11,8.7
158,2020,12,8.9
159,2021,1,9.4
160,2021,2,8.3
161,2021,3,7.5
162,2021,4,8.0
163,2021,5,8.0
164,2021,6,7.6
165,2021,7,7.4
166,2021,8,7.1
167,2021,9,7.0
168,2021,10,6.8
169,2021,11,6.1
170,2021,12,6.0
171,2022,1,6.5
172,2022,2,5.5
173,2022,3,5.3
174,2022,4,5.2
175,2022,5,5.1
176,2022,6,4.9
177,2022,7,4.9
178,2022,8,5.4
179,2022,9,5.2
