Date,Inflation rate
2019-01-01,106.5904
2019-02-01,106.5904
2019-03-01,107.2848
2019-04-01,108.3264
2019-05-01,109.0208
2019-06-01,109.7152
2019-07-01,110.7568
2019-08-01,111.104
2019-09-01,111.7984
2019-10-01,112.84
2019-11-01,113.8816
2019-12-01,114.576
2020-01-01,114.576
2020-02-01,113.8816
2020-03-01,113.1872
2020-04-01,114.2288
2020-05-01,114.576
2020-06-01,115.2704
2020-07-01,116.6592
2020-08-01,117.3536
2020-09-01,118.1
2020-10-01,119.5
2020-11-01,119.9
2020-12-01,118.8
2021-01-01,118.2
2021-02-01,119.0
2021-03-01,119.6
2021-04-01,120.1
2021-05-01,120.6
2021-06-01,121.7
2021-07-01,122.8
2021-08-01,123.0
2021-09-01,123.3
2021-10-01,124.9
2021-11-01,125.7
2021-12-01,125.4
2022-01-01,125.1
2022-02-01,125.0
2022-03-01,126.0
2022-04-01,127.7
2022-05-01,129.0
2022-06-01,129.2
2022-07-01,129.9
